"system_object_id";"global_id";"Name";"Longitude_WGS84";"Latitude_WGS84";"Street";"AdmArea";"District";"RouteNumbers";"OperatingOrgName";"EntryState";"Pavilion";"Direction";"ID";"StationName";"geoData";
"9419";"1723712";"«Поворот на с/х Воскресенское», Калужское шоссе (от центра) (1)";"37.4316655216054";"55.5536558517535";"Калужское шоссе";"Новомосковский административный округ";"поселение Сосенское";"А503; А398; А433; А508; А512; А513; А514; А515; А531; А804; А891";"ГУП «Мосгортранс»";"активна";"да";"от центра";"9419";"Поворот на с/х Воскресенское";"{type=Point, coordinates=[37.4316655526165, 55.5536554820337]}";
"9420";"1723713";"«Поворот на с/х Воскресенское», Калужское шоссе (в центр) (1)";"37.4323203014417";"55.553683568663";"Калужское шоссе";"Новомосковский административный округ";"поселение Сосенское";"А508; А515; А513; А512; А514; А531; А398П; А433П; А879; А1003";"ГУП «Мосгортранс»";"активна";"да";"в центр";"9420";"Поворот на с/х Воскресенское";"{type=Point, coordinates=[37.4323203328248, 55.5536831993449]}";
"10730";"1723714";"«Метро Бульв. Дмитрия Донского», Старокачаловская улица (в центр)";"37.5789488116846";"55.5707455726198";"Старокачаловская улица";"Юго-Западный административный округ";"район Северное Бутово";"АА813; А1004; А18";"ГУП «Мосгортранс»";"активна";"да";"в центр";"10730";"Метро Бульв. Дмитрия Донского";"{type=Point, coordinates=[37.5789488422987, 55.5707452029446]}";
"9422";"1723715";"«Ракитки», Калужское шоссе (в центр)";"37.3963538347876";"55.5381716395243";"Калужское шоссе";"Новомосковский административный округ";"поселение Десеновское";"А503; А433; А508; А512; А513; А514; А515; А526; А531; А804; А879; А891";"ГУП «Мосгортранс»";"активна";"да";"в центр";"9422";"Ракитки";"{type=Point, coordinates=[37.3963538654485, 55.5381712702121]}";
"9423";"1723716";"«Санаторий Десна», Калужское шоссе (от центра)";"37.3888886087898";"55.5285615118104";"Калужское шоссе";"Новомосковский административный округ";"поселение Десеновское";"А508; А531; А876; А1003";"";"активна";"нет";"от центра";"9423";"Санаторий Десна";"{type=Point, coordinates=[37.3888886399581, 55.5285611424659]}";
"9424";"1723717";"«Санаторий Десна», Калужское шоссе (в центр) (1)";"37.389620457466";"55.5291802777302";"Калужское шоссе";"Новомосковский административный округ";"поселение Десеновское";"А503; А508; А531; А891";"";"активна";"нет";"в центр";"9424";"Санаторий Десна";"{type=Point, coordinates=[37.3896204884363, 55.5291799082857]}";
"10392";"1723718";"«Перервинский бульв.», Перервинский бульвар (от центра)";"37.7636051009933";"55.6632619225617";"Перервинский бульвар";"Юго-Восточный административный округ";"район Марьино";"А853; А81";"ГУП «Мосгортранс»";"активна";"да";"от центра";"10392";"Перервинский бульв.";"{type=Point, coordinates=[37.7636051318777, 55.6632615534698]}";
"10393";"1723719";"«Ул. Перерва, 58», улица Перерва (в центр)";"37.7575420633582";"55.6632166011803";"улица Перерва";"Юго-Восточный административный округ";"район Марьино";"А658; А853; АН5; А657; А30; А81";"ГУП «Мосгортранс»";"активна";"да";"в центр";"10393";"Ул. Перерва, 58";"{type=Point, coordinates=[37.7575420939081, 55.6632162321914]}";
"10394";"1723720";"«Перервинский бульв.», улица Перерва (в центр)";"37.7609665687301";"55.6635468236041";"улица Перерва";"Юго-Восточный административный округ";"район Марьино";"А853; А81; А112";"ГУП «Мосгортранс»";"активна";"да";"в центр";"10394";"Перервинский бульв.";"{type=Point, coordinates=[37.7609665993297, 55.6635464550348]}";
"10286";"1723721";"«Старобитцевская ул., 21», Старобитцевская улица (в центр)";"37.5766382867482";"55.5781731092197";"Старобитцевская улица";"Юго-Западный административный округ";"район Северное Бутово";"А668; А213";"ГУП «Мосгортранс»";"активна";"да";"в центр";"10286";"Старобитцевская ул., 21";"{type=Point, coordinates=[37.57663831702, 55.5781727397579]}";
"10287";"1723722";"«Старобитцевская ул., 17», Старобитцевская улица (в центр)";"37.5840253265245";"55.5763729991699";"Старобитцевская улица";"Юго-Западный административный округ";"район Северное Бутово";"А668; А813; А108";"ГУП «Мосгортранс»";"активна";"да";"в центр";"10287";"Старобитцевская ул., 17";"{type=Point, coordinates=[37.5840253576099, 55.576372629364]}";
"10288";"1723723";"«Старобитцевская ул., 17», Старобитцевская улица (от центра)";"37.5828302406204";"55.5769233797894";"Старобитцевская улица";"Юго-Западный административный округ";"район Северное Бутово";"А668; А813; А108";"";"активна";"нет";"от центра";"10288";"Старобитцевская ул., 17";"{type=Point, coordinates=[37.5828302713002, 55.5769230103528]}";
"10289";"1723724";"«Молодежный комплекс», Старобитцевская улица (в центр)";"37.5889425466053";"55.575201091065";"Старобитцевская улица";"Юго-Западный административный округ";"район Северное Бутово";"А668; А813; А108";"ГУП «Мосгортранс»";"активна";"да";"в центр";"10289";"Молодежный комплекс";"{type=Point, coordinates=[37.5889425764552, 55.5752007214161]}";
"10290";"1723725";"«Молодежный комплекс», Старобитцевская улица (от центра)";"37.5883454191055";"55.5756079986929";"Старобитцевская улица";"Юго-Западный административный округ";"район Северное Бутово";"А668; А813; А108";"ГУП «Мосгортранс»";"активна";"да";"от центра";"10290";"Молодежный комплекс";"{type=Point, coordinates=[37.5883454492206, 55.5756076295805]}";
"9864";"1723726";"«Рынок», Дмитровское шоссе (в центр)";"37.5443694954025";"55.912476430874";"Дмитровское шоссе";"Северо-Восточный административный округ";"район Северный";"А644; А763К; А685; А763; А843";"";"активна";"нет";"в центр";"9864";"Рынок";"{type=Point, coordinates=[37.5443695263489, 55.9124760636865]}";
"10292";"1723727";"«Ратная ул.», Старобитцевская улица (от центра)";"37.5928208354628";"55.572534270735";"Старобитцевская улица";"Юго-Западный административный округ";"район Северное Бутово";"А668; А813; А108";"ГУП «Мосгортранс»";"активна";"да";"от центра";"10292";"Ратная ул.";"{type=Point, coordinates=[37.592820865827, 55.5725339013801]}";
"10293";"1723728";"«Метро Щелковская», Уральская улица (от центра) (2)";"37.7987822627807";"55.8109477963162";"Уральская улица";"Восточный административный округ";"район Гольяново";"А171; АН3";"ГУП «Мосгортранс»";"активна";"да";"от центра";"10293";"Метро Щелковская";"{type=Point, coordinates=[37.7987822935662, 55.8109474282542]}";
